Region,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion
Australia and New Zealand,1995,0.9844280042125368,60.879284643478314,24.851190476190474,0.7,0.84375,105.8,8.892755000000001,2.6074449849753982,,99.94943174113837,100.0,11.194223056999999,0.9902029633522034
Australia and New Zealand,1996,0.9844280042125368,61.855174295367966,24.851190476190474,0.7,0.84375,105.75,8.892755000000001,2.6074449849753982,,99.94943174113837,100.0,17.56303923,0.9902029633522034
Australia and New Zealand,1997,0.9844280042125368,61.71807585804326,24.851190476190474,0.7,0.84375,105.5,8.892755000000001,2.6074449849753982,,99.94943174113837,100.0,19.9309368,0.9902029633522034
Australia and New Zealand,1998,0.9844280042125368,61.73050353893611,24.851190476190474,0.7,0.859375,105.44999999999999,8.892755000000001,2.6074449849753982,,99.94943174113837,100.0,23.58657969,0.9902029633522034
Australia and New Zealand,1999,0.9844280042125368,62.65731861635355,27.529761904761905,0.7,0.859375,105.19999999999999,8.892755000000001,2.6074449849753982,,99.94943174113837,100.0,34.989305494999996,0.9902029633522034
Australia and New Zealand,2000,0.9844280042125368,63.658354668953194,26.915171898355755,0.7,0.859375,105.25,8.892755000000001,2.6074449849753982,,99.94943174113837,100.0,42.50891731,0.9902029633522034
Australia and New Zealand,2001,0.9844280042125368,64.67638278316701,27.916666666666664,0.7,0.859375,105.05,8.49474,2.6074449849753982,,99.94942511069823,100.0,58.32900634,0.9902029633522034
Australia and New Zealand,2002,0.9844365812774651,65.25745358788555,28.691002949852507,0.85,0.859375,105.05,7.898125,2.6074449849753982,,99.94974874375589,100.0,63.538590415,0.9902029633522034
Australia and New Zealand,2003,0.9844451583423937,66.02587988534953,27.857669616519175,1.0,0.859375,105.3,7.939235,2.6074449849753982,,99.95357289536213,100.0,68.74190103,0.9902029633522034
Australia and New Zealand,2004,0.984453735407322,66.49108652545597,27.441002949852507,0.7,0.875,105.3,8.31348,2.6074449849753982,,99.95736679539385,100.0,78.43775636000001,0.9902029633522034
Australia and New Zealand,2005,0.9857681840196441,68.19685225005728,28.325958702064895,0.625,0.875,105.3,7.301400000000001,2.6074449849753982,,99.9611324283814,100.0,88.36527552,0.9902029633522034
Australia and New Zealand,2006,0.9905064321771698,68.74882334122202,30.274994514737074,0.55,0.875,105.4,7.677014999999999,2.5688914777852823,,99.96486641400199,100.0,93.754935855,0.9902029633522034
Australia and New Zealand,2007,0.990524642516897,69.4178772100837,30.274994514737074,0.475,0.890625,105.55,7.68136,2.5303379705951663,,99.9685787313028,100.0,101.38206185,0.9902029633522034
Australia and New Zealand,2008,0.9943610331119976,70.03805741525468,31.351934469392233,0.4,0.890625,105.6,7.21902,2.4917844634050503,,99.97225906635123,100.0,106.27457899999999,0.9902029633522034
Australia and New Zealand,2009,0.9947592647356336,69.93566667813644,31.62628753808211,0.35,0.890625,105.6,7.779325,2.4532309562149344,,99.97591201982068,100.0,105.8589346,0.9902029633522034
Australia and New Zealand,2010,0.9963974161612246,69.62068390991462,31.847526476135208,0.3,0.890625,105.55,7.669835,2.4146774490248184,,99.9792909272029,100.0,105.27539354999999,0.9902029633522034
Australia and New Zealand,2011,0.9984363844506265,70.23238366318569,30.96257072392282,0.35,0.890625,105.5,8.172564999999999,2.376123941834702,,99.98091329188537,100.0,108.20938955,0.9902029633522034
